iter	Logloss
0	0.6835861638
1	0.6746621091
2	0.6662635321
3	0.6581391031
4	0.6505547989
5	0.643108363
6	0.6358723385
7	0.6289624631
8	0.6232282094
9	0.6170326832
10	0.6114163415
11	0.6062824333
12	0.600845751
13	0.5956251708
14	0.5911495553
15	0.5865467897
16	0.5820456585
17	0.5779687095
18	0.5736944259
19	0.5694149044
20	0.5655816773
21	0.561875796
22	0.5590823977
23	0.555492707
24	0.5523609162
25	0.5489382384
26	0.5459544787
27	0.543769671
28	0.5408184049
29	0.5384534312
30	0.5359515008
31	0.5333772927
32	0.5312247947
33	0.5291008981
34	0.5268522384
35	0.524467484
36	0.5225462402
37	0.5203950635
38	0.5187839601
39	0.516942874
40	0.5151188806
41	0.5135841364
42	0.511603989
43	0.5101396684
44	0.5086159855
45	0.5071524937
46	0.5058482284
47	0.5044188928
48	0.5030262677
49	0.50167177
50	0.5003552564
51	0.4991708271
52	0.4980238926
53	0.4969961458
54	0.4957240788
55	0.4949350169
56	0.4938332041
57	0.4929027984
58	0.4916990002
59	0.4907671373
60	0.4897567535
61	0.4888398366
62	0.4876560066
63	0.4868434582
64	0.4859260738
65	0.4851092109
66	0.4842087961
67	0.4833187346
68	0.4824156168
69	0.4814525077
70	0.4806600226
71	0.479952334
72	0.4789986277
73	0.4783350566
74	0.4776948602
75	0.4770594632
76	0.4763935135
77	0.4757425515
78	0.4750635383
79	0.474383912
80	0.4736474953
81	0.4730781039
82	0.4724632461
83	0.4718922102
84	0.4713952212
85	0.4709310115
86	0.470337124
87	0.4697329409
88	0.4692824443
89	0.468768937
90	0.4683325272
91	0.4677269163
92	0.4672876287
93	0.4668026087
94	0.4661874971
95	0.465512798
96	0.4650003221
97	0.464545049
98	0.4641646423
99	0.4638027041
100	0.4633049156
101	0.4627618553
102	0.4623367149
103	0.4618526041
104	0.461678554
105	0.4613176097
106	0.4609275378
107	0.4606322506
108	0.4600430236
109	0.4595095301
110	0.4590928097
111	0.4588363212
112	0.4585248087
113	0.4581572165
114	0.4578056392
115	0.4574840618
116	0.4572035262
117	0.456814189
118	0.4565337993
119	0.4561851492
120	0.4558727911
121	0.4554410528
122	0.4551994059
123	0.4547688559
124	0.4544918027
125	0.4540932217
126	0.4537879715
127	0.453498181
128	0.4530324309
129	0.4526218683
130	0.4523446272
131	0.4519977889
132	0.451690339
133	0.4513835063
134	0.451030018
135	0.4507189287
136	0.4504937585
137	0.4501930038
138	0.4501721951
139	0.4497124312
140	0.4493979583
141	0.4491348068
142	0.448903465
143	0.4485950251
144	0.4483203506
145	0.4479678159
146	0.4476773972
147	0.4473582957
148	0.4470211807
149	0.4466707528
150	0.446436748
151	0.4461748168
152	0.4459127137
153	0.4457787833
154	0.445522763
155	0.4453050503
156	0.4449753219
157	0.4445706364
158	0.4443185253
159	0.4440900265
160	0.4438672394
161	0.4436426693
162	0.4433781301
163	0.4430110184
164	0.4428134118
165	0.442536853
166	0.4422856229
167	0.442030693
168	0.4416288388
169	0.441281483
170	0.4411053349
171	0.44078129
172	0.4405434431
173	0.4403464248
174	0.4401853948
175	0.4400134181
176	0.439852504
177	0.4395956005
178	0.4395496584
179	0.4392880462
180	0.4390287919
181	0.4387200876
182	0.4383444713
183	0.4380891079
184	0.4380481294
185	0.4379235548
186	0.437738943
187	0.4375145702
188	0.4373477952
189	0.437008785
190	0.4367999556
191	0.4364937173
192	0.4363082268
193	0.4360770294
194	0.4359590362
195	0.435705907
196	0.4354140911
197	0.4353420135
198	0.4350209377
199	0.4348770798
200	0.4347466059
201	0.4345993892
202	0.4343878136
203	0.4340566508
204	0.4338495842
205	0.4337134921
206	0.4335763985
207	0.4334498856
208	0.433221785
209	0.4330635835
210	0.4328994065
211	0.4327161265
212	0.4324830389
213	0.432307676
214	0.432110783
215	0.431904916
216	0.4317092347
217	0.4314584884
218	0.4311606946
219	0.4309861316
220	0.430795837
221	0.4306548716
222	0.4304427669
223	0.430314089
224	0.4301404208
225	0.4300179478
226	0.429887835
227	0.4296545314
228	0.4293709991
229	0.4290383013
230	0.428857411
231	0.4287533281
232	0.4285409256
233	0.428300791
234	0.428178811
235	0.4277992974
236	0.4275712625
237	0.4274388456
238	0.4271699788
239	0.4269404765
240	0.426719996
241	0.4264084293
242	0.4260931024
243	0.4258606961
244	0.4256701437
245	0.4255688218
246	0.4254046056
247	0.425147975
248	0.4249165191
249	0.4247199042
250	0.424524294
251	0.4243988277
252	0.4241436855
253	0.4239085754
254	0.4237479488
255	0.4235910735
256	0.4234682668
257	0.423152531
258	0.4229125327
259	0.4225937164
260	0.4223254845
261	0.4221416673
262	0.4218836095
263	0.4217471754
264	0.4216195564
265	0.4214055067
266	0.4210925443
267	0.4209616531
268	0.4208072213
269	0.4206441039
270	0.4204806967
271	0.4202666293
272	0.420155454
273	0.419972058
274	0.4198969917
275	0.4197466335
276	0.4195438415
277	0.4193302886
278	0.4190777572
279	0.4189345944
280	0.4186835311
281	0.4184802823
282	0.4181830605
283	0.4180528494
284	0.4178209247
285	0.4175971133
286	0.4172905065
287	0.4170880358
288	0.4168952336
289	0.4167492512
290	0.4166737483
291	0.4164414704
292	0.4161877922
293	0.4159996579
294	0.4157866241
295	0.415517031
296	0.4152449154
297	0.4149349496
298	0.4146894356
299	0.4145399025
300	0.4143830989
301	0.4142084058
302	0.4140103222
303	0.4139543487
304	0.4138394941
305	0.41355867
306	0.4133533072
307	0.4131479682
308	0.4129053768
309	0.4127110332
310	0.4124279662
311	0.4123019096
312	0.4120248152
313	0.4118013463
314	0.4116359969
315	0.4113442578
316	0.411163524
317	0.4109229237
318	0.4107943543
319	0.4105593814
320	0.4102849192
321	0.4100940341
322	0.4099462867
323	0.4098440384
324	0.4095014305
325	0.4094146459
326	0.4092317157
327	0.408980397
328	0.4086595138
329	0.4084112611
330	0.4083955608
331	0.4081837049
332	0.4080187812
333	0.4078331819
334	0.40755979
335	0.4073256673
336	0.4071043751
337	0.4068518714
338	0.4067187344
339	0.4064915362
340	0.4062969009
341	0.4061287726
342	0.4059835442
343	0.405785381
344	0.4055581638
345	0.4052772682
346	0.4050844573
347	0.4048402626
348	0.4046951738
349	0.4045273437
350	0.4043382506
351	0.4042410536
352	0.4040742329
353	0.4038276294
354	0.403753051
355	0.4036449059
356	0.4035774267
357	0.4034194938
358	0.4032661653
359	0.4031391428
360	0.4029040528
361	0.4027669904
362	0.4026050486
363	0.4022725117
364	0.402103484
365	0.4020424846
366	0.4018791736
367	0.4015938181
368	0.4013911734
369	0.4012217064
370	0.4010807804
371	0.4009918994
372	0.4008226339
373	0.400571606
374	0.4005284479
375	0.4002981642
376	0.400078504
377	0.3999358137
378	0.3998053943
379	0.3996514469
380	0.399438823
381	0.3992998908
382	0.3991320244
383	0.3989016829
384	0.3987241948
385	0.3985980336
386	0.3984159486
387	0.3982520968
388	0.3981044473
389	0.3979485105
390	0.3978520181
391	0.3977164244
392	0.3975673125
393	0.3974116434
394	0.3972191081
395	0.3970352364
396	0.3969273793
397	0.3967258734
398	0.3966589863
399	0.3964658242
400	0.3962293157
401	0.3959919775
402	0.3958249163
403	0.3956612065
404	0.3954232271
405	0.3952190331
406	0.3950374368
407	0.3948733817
408	0.3947624882
409	0.3946226509
410	0.3945500117
411	0.3943471619
412	0.3941287073
413	0.3939901203
414	0.3936425616
415	0.3934523851
416	0.3932158865
417	0.3930467352
418	0.3929485343
419	0.3927801268
420	0.392572156
421	0.3923034759
422	0.3920747175
423	0.3919642234
424	0.3916630339
425	0.3914336423
426	0.3912934177
427	0.391077417
428	0.3909646998
429	0.3906813793
430	0.390543754
431	0.3904486608
432	0.390290472
433	0.3901607487
434	0.3899968315
435	0.389750213
436	0.3896466859
437	0.3894650247
438	0.3893662993
439	0.3892407958
440	0.3889776836
441	0.3888785902
442	0.3886713559
443	0.388534447
444	0.3882927502
445	0.3880816718
446	0.3878954135
447	0.3876897889
448	0.3875388664
449	0.3874581355
450	0.3871932014
451	0.3870292455
452	0.3868661291
453	0.386638905
454	0.3864565758
455	0.3863715757
456	0.3862084825
457	0.3860694991
458	0.3858298734
459	0.3856066104
460	0.3854035439
461	0.385209515
462	0.3849438179
463	0.3848261415
464	0.3846366471
465	0.3844737886
466	0.3842763753
467	0.3841114976
468	0.383980254
469	0.3837922944
470	0.3837106036
471	0.3834986918
472	0.383396553
473	0.3832381514
474	0.3830776957
475	0.3829394429
476	0.3828274879
477	0.3825670152
478	0.382418006
479	0.3822237012
480	0.382075356
481	0.3818955834
482	0.3817172051
483	0.3815340211
484	0.3813819472
485	0.3811913891
486	0.3809797981
487	0.380853144
488	0.3807948048
489	0.3805322352
490	0.3804043171
491	0.3803138035
492	0.3802638439
493	0.3801109503
494	0.3799671737
495	0.379839865
496	0.3796043021
497	0.3794039311
498	0.3792871595
499	0.3791534544
500	0.3789976578
501	0.3788347469
502	0.3786839868
503	0.3783764272
504	0.3781826416
505	0.3780242461
506	0.3779086274
507	0.3777948567
508	0.377623214
509	0.3774251627
510	0.3772868452
511	0.3771465781
512	0.3770084014
513	0.3768522772
514	0.3766705207
515	0.376572092
516	0.3764268041
517	0.3762917293
518	0.3760213897
519	0.3758954051
520	0.3757221415
521	0.3755952553
522	0.3754453176
523	0.3753220848
524	0.3751817996
525	0.3750357573
526	0.3749009104
527	0.3747852077
528	0.3746130766
529	0.3745285387
530	0.3743514453
531	0.3741740119
532	0.3739626735
533	0.3738494871
534	0.3736909699
535	0.3736197756
536	0.373517644
537	0.373297312
538	0.3730517926
539	0.3728837011
540	0.3727853728
541	0.3726314128
542	0.3724914444
543	0.3724415383
544	0.3723735249
545	0.3722441951
546	0.3720889306
547	0.3719637351
548	0.3718365439
549	0.3716429602
550	0.3713953256
551	0.3712448897
552	0.3711076525
553	0.3709435424
554	0.3708408407
555	0.3707589188
556	0.3706096456
557	0.37048971
558	0.3703522806
559	0.3700346059
560	0.3699157426
561	0.3698330547
562	0.3696153599
563	0.3694027385
564	0.3692273802
565	0.368968591
566	0.3688275347
567	0.3687107241
568	0.3685554249
569	0.3684234933
570	0.3682915979
571	0.368220271
572	0.3680259421
573	0.3678583084
574	0.3676983895
575	0.3675544709
576	0.3673442424
577	0.3671480109
578	0.3669879796
579	0.3667961778
580	0.3665804192
581	0.3664328124
582	0.3662915417
583	0.3660452817
584	0.3657848035
585	0.3656488376
586	0.365497578
587	0.365356268
588	0.3651645703
589	0.3649700388
590	0.3648499694
591	0.364705067
592	0.3645539424
593	0.3643760309
594	0.3642156741
595	0.3640950781
596	0.3639609663
597	0.3638693266
598	0.3637520796
599	0.3635819877
600	0.363403314
601	0.3632445554
602	0.3631137983
603	0.3629705209
604	0.3628301259
605	0.3626976804
606	0.3625613121
607	0.362437354
608	0.3623169166
609	0.362201505
610	0.3620737503
611	0.3619385992
612	0.3617706639
613	0.3616305321
614	0.3614604435
615	0.3613652643
616	0.361165923
617	0.3610795805
618	0.3608224308
619	0.3606844017
620	0.3605027713
621	0.3603943174
622	0.3602866555
623	0.3602215256
624	0.3601175539
625	0.3600040679
626	0.3598352875
627	0.3596558389
628	0.3595070062
629	0.3593449369
630	0.3592053105
631	0.3590370715
632	0.3588259979
633	0.3587342841
634	0.3585924181
635	0.3584309614
636	0.3582035357
637	0.3581127788
638	0.3579942539
639	0.3579115099
640	0.3578319845
641	0.3576608902
642	0.3574794344
643	0.3573039204
644	0.3571120424
645	0.3569985876
646	0.3568381693
647	0.3567784776
648	0.3566670081
649	0.3564702647
650	0.3563458634
651	0.3561893238
652	0.3561066234
653	0.3559881639
654	0.3558373208
655	0.3557693611
656	0.355654163
657	0.3555281182
658	0.3553420313
659	0.3552190251
660	0.3551075635
661	0.3550399868
662	0.3548942067
663	0.3548460213
664	0.3547915215
665	0.3546070988
666	0.3544287108
667	0.3542749714
668	0.3541579086
669	0.3540994234
670	0.3540186605
671	0.3538652481
672	0.3536596874
673	0.3535005002
674	0.3534263438
675	0.3532837492
676	0.3530924713
677	0.3529801131
678	0.3528169474
679	0.3527000999
680	0.3525706893
681	0.3524900683
682	0.3523473747
683	0.3521387139
684	0.351946104
685	0.3518610187
686	0.3517506269
687	0.3515128474
688	0.3513727334
689	0.3512382705
690	0.3511829363
691	0.3510465167
692	0.350913468
693	0.3507518189
694	0.3506153
695	0.3504965399
696	0.3504479111
697	0.3503467783
698	0.3502197312
699	0.3501284778
700	0.3499938322
701	0.3498918179
702	0.349796183
703	0.3496888189
704	0.3495287085
705	0.3494076014
706	0.3492774182
707	0.3491607598
708	0.3490430048
709	0.3489069206
710	0.3488513587
711	0.348781495
712	0.3486627961
713	0.3485283856
714	0.3484322885
715	0.3482985094
716	0.3481685659
717	0.3480328068
718	0.3478754486
719	0.3476964265
720	0.3475408992
721	0.3473138712
722	0.34721419
723	0.3470965552
724	0.3470057402
725	0.3468855946
726	0.346683152
727	0.3465303868
728	0.3463498867
729	0.346234006
730	0.3461407573
731	0.3460519267
732	0.3458754159
733	0.3457215836
734	0.3456773623
735	0.345591455
736	0.3454829913
737	0.345293346
738	0.3451264415
739	0.3449276814
740	0.3447804361
741	0.344629142
742	0.3444708119
743	0.3443883926
744	0.3443074493
745	0.3442480178
746	0.3441245269
747	0.3439647243
748	0.343805798
749	0.3436486484
750	0.3434298409
751	0.3433540957
752	0.3432426108
753	0.3431007373
754	0.3430215707
755	0.3428072561
756	0.3426821249
757	0.3425747884
758	0.3424256126
759	0.3422576347
760	0.3421660455
761	0.3420730008
762	0.3419754827
763	0.3418447869
764	0.3416848573
765	0.341622542
766	0.3414648375
767	0.341385489
768	0.3411766597
769	0.3409961078
770	0.3408278919
771	0.3407305213
772	0.3406338238
773	0.3405234814
774	0.3403778859
775	0.3402228215
776	0.3400573126
777	0.3399782435
778	0.3398620993
779	0.3397728771
780	0.3396492092
781	0.339552168
782	0.3394783063
783	0.3394423093
784	0.3392934181
785	0.3391126331
786	0.338928968
787	0.3387210678
788	0.3385698986
789	0.3385219952
790	0.3384747983
791	0.3384137169
792	0.3382359584
793	0.3381275902
794	0.3379578774
795	0.3378086328
796	0.3376689383
797	0.3375860616
798	0.3374787961
799	0.3373434759
800	0.3371877714
801	0.3370705398
802	0.3369212066
803	0.3368525816
804	0.3366682561
805	0.3365066427
806	0.3363893107
807	0.3362691557
808	0.336161443
809	0.3360059678
810	0.3358235909
811	0.3356457514
812	0.3355769121
813	0.3353832869
814	0.3352637029
815	0.3351477935
816	0.3350069972
817	0.3349474187
818	0.3347622032
819	0.3347061863
820	0.3345541375
821	0.3344149089
822	0.3342423019
823	0.3340653324
824	0.3339703413
825	0.333830932
826	0.3336967098
827	0.3335898043
828	0.3334622033
829	0.3333513541
830	0.3332913949
831	0.3331939192
832	0.3330673256
833	0.3329588064
834	0.3328019062
835	0.3326702575
836	0.3325542074
837	0.3324494891
838	0.3323048252
839	0.3321247302
840	0.3319317822
841	0.3318885369
842	0.3317556795
843	0.3316437181
844	0.3314536578
845	0.3313039112
846	0.3311979386
847	0.3310865692
848	0.3309531236
849	0.3307944799
850	0.3307249059
851	0.3305940672
852	0.330494907
853	0.3303865176
854	0.330247189
855	0.3301601678
856	0.3300731873
857	0.3300162498
858	0.329890399
859	0.3297633661
860	0.3296453014
861	0.3295251236
862	0.3294330938
863	0.3293126352
864	0.3291876978
865	0.3291254678
866	0.3290083588
867	0.3288998576
868	0.3287632332
869	0.3287102863
870	0.3285824172
871	0.328412012
872	0.3282875689
873	0.3281420539
874	0.3280222414
875	0.3278653502
876	0.3277555592
877	0.3276308096
878	0.3275385882
879	0.327464852
880	0.3273633045
881	0.3272638688
882	0.3271231849
883	0.3269607529
884	0.3268771217
885	0.32673593
886	0.3266321398
887	0.3265518767
888	0.3265200643
889	0.326362532
890	0.3262689051
891	0.3261301198
892	0.3260613391
893	0.3259656013
894	0.3258067856
895	0.3256530281
896	0.3255330527
897	0.3254840746
898	0.3254113342
899	0.3252982862
900	0.3250894867
901	0.3249385062
902	0.3248257721
903	0.3246761899
904	0.3245385232
905	0.3244405083
906	0.3243298533
907	0.3242388194
908	0.3241024977
909	0.3240142137
910	0.3238578422
911	0.3237906989
912	0.3237281793
913	0.3236350528
914	0.3235548231
915	0.3234653918
916	0.3233620637
917	0.3232742418
918	0.3231437846
919	0.3230338847
920	0.3228577162
921	0.3226951095
922	0.3226097514
923	0.3224915425
924	0.3224393838
925	0.3223393378
926	0.3222660386
927	0.3222058481
928	0.3221062785
929	0.3220049083
930	0.3218577783
931	0.3217314406
932	0.3216815607
933	0.3215678239
934	0.3215052959
935	0.3213996018
936	0.3212923631
937	0.3211759447
938	0.321054397
939	0.3209087377
940	0.3207813674
941	0.320631929
942	0.3205727768
943	0.3204707474
944	0.3203060942
945	0.3201898497
946	0.3200443522
947	0.3199761493
948	0.3198360781
949	0.3196966134
950	0.3195579018
951	0.3194639131
952	0.3192961881
953	0.31919404
954	0.3191336284
955	0.3190835987
956	0.3190168717
957	0.3189443307
958	0.3187791078
959	0.3186625848
960	0.3185264018
961	0.3183880537
962	0.318312161
963	0.3182466515
964	0.3181760991
965	0.3181030409
966	0.3179582928
967	0.3178688599
968	0.3177469055
969	0.3176159009
970	0.3175034997
971	0.3173730076
972	0.3173036941
973	0.3171667169
974	0.3170829193
975	0.3169291609
976	0.3168493111
977	0.3167591849
978	0.3166365487
979	0.3165097311
980	0.3164283384
981	0.3163141238
982	0.3161534436
983	0.3160287929
984	0.3159189987
985	0.3157875554
986	0.3156800483
987	0.3155269946
988	0.3154177
989	0.3152836641
990	0.3151810311
991	0.3150786286
992	0.314959195
993	0.3147750803
994	0.3146499682
995	0.314526697
996	0.3144676206
997	0.3143503515
998	0.3142628057
999	0.3141465652
